Column1,Column2,Column3,Column4,Column5,Column6,Checked
84886454452,"die Ansage, -n",Hören Sie auf die Ansagen.,announcement,Listen to the announcements.,,
84886454453,der Anschluss,In Mannheim haben Sie Anschluss nach Saarbrücken.,connection,In Mannheim you have a connection to Saarbrücken.,,
84886454454,der Anschluss,Ist das die Anmeldung für einen Telefonanschluss?,connection,Is that the application for a telephone connection?,,
84886454455,an sein,Heute Nacht war das Licht an.,to be (switched) on,The light was on tonight.,,
84886454456,antworten,Er antwortet nicht.,to answer,He isn’t answering.,,
84886454457,"die Antwort, -en",Er gibt leider keine Antwort.,answer,Unfortunately he isn't giving an answer.,,
84886454458,"die Anzeige, -n",Ich habe Ihre Anzeige in der Zeitung gelesen.,advert,I read your advert in the newspaper.,,
84886454459,(sich) anziehen,Ich muss mich noch anziehen.,to get dressed,I still need to get dressed.,,
84886454460,"das Apartment, -s",Wir haben ein Apartment gemietet.,apartment,We rented an apartment.,,
84886454461,"der Apfel, -Ä",Ein Pfund Äpfel bitte.,apple,"One pound of apples, please.",,
84886454462,der Appetit,Guten Appetit!,…,Bon appetit!,,
84886454463,arbeiten,Wo arbeiten Sie?,to work,Where do you work?,,
84886454464,"die Arbeit, -en",Mein Bruder sucht Arbeit.,work,My brother is looking for work.,,
84886454465,arbeitslos,"Es gibt bei uns viele Leute, die schon lange arbeitslos sind.",unemployed,We have a lot of people who have been unemployed for a long time.,,
84886454466,"der Arbeitsplatz, -ä, e",An meinem Arbeitsplatz fehlt ein Drucker.,workplace,There is no printer at my workplace.,,
84886454467,"der Arm, -e",Mein Arm tut weh.,arm,My arm hurts.,,
84886454468,"der Arzt, -Ä, e",Morgen habe ich einen Termin bei meiner Ärztin.,doctor,Tomorrow I have an appointment with my doctor.,,
84886454469,auch,Ich bin auch Spanier.,also,I am also Spanish.,,
84886454470,auf,Die Kinder spielen auf der Straße.,on,The children play on the street.,,
84886454471,auf,Auf Wiedersehen.,until,goodbye (in person),lit. “until we see each other again”,
84886454472,auf,Wie heißt das auf Deutsch?,in,What’s that called in German?,,
84886454473,"die Aufgabe, -n",Das ist eine schwere Aufgabe.,task,That is a difficult task.,,
84886454474,aufhören,Der Kurs hört in einer Woche auf.,to end,The course ends in a week.,,
84886454475,aufhören,Hier hört die Bahnhofstraße auf.,to end,Bahnhofstraße ends here.,,
84886454476,auf sein,Du brauchst den Schlüssel nicht. Die Wohnung ist auf.,to be open,You don’t need the key. The flat is open.,,
84886454477,aufstehen,Ich muss immer um vier Uhr aufstehen.,to get up,I always need to get up at 4 am.,,
84886454478,aufstehen,Soll ich aufstehen?,to get up,Should I get up?,,
84886454479,"der Aufzug, -ü, e",In diesem Haus gibt es keinen Aufzug.,lift,There is no lift in this building.,,
